 Ano; Código da Área; Área de Avaliação; Código da IES; Nome da IES; Sigla da IES; Organização Acadêmica; Categoria Administrativa; Código do Curso; Modalidade de Ensino; Código do Município; Município do Curso; Sigla da UF; Nº de Concluintes Inscritos; Nº de Concluintes Participantes; Nº de Concluintes Participantes com nota no Enem; Proporção de Concluintes participantes com nota no Enem; Nota Bruta - IDD; IDD (Contínuo); IDD (Faixa);Observação
2019;28;NUTRIÇÃO;1414;CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Centro Universitário;Privada com fins lucrativos;45877;Educação Presencial;1100205;Porto Velho;RO;30;20;17;0,85;1,1832;3,2835;4;
2019;6208;ENGENHARIA DE PRODUÇÃO;12758;FACULDADE DE EDUCAÇÃO E CULTURA DE PORTO VELHO;FAEC-PVH;Faculdade;Privada sem fins lucrativos;1193546;Educação Presencial;1100205;Porto Velho;RO;14;14;7;0,5;0,0782;2,5135;3;
2019;5710;ENGENHARIA CIVIL;12758;FACULDADE DE EDUCAÇÃO E CULTURA DE PORTO VELHO;FAEC-PVH;Faculdade;Privada sem fins lucrativos;1108254;Educação Presencial;1100205;Porto Velho;RO;47;42;35;0,833333333;0,5448;2,9682;4;
2019;5;MEDICINA VETERINÁRIA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;73753;Educação Presencial;1100205;Porto Velho;RO;53;51;34;0,666666667;0,458;3,015;4;
2019;19;FARMÁCIA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;73755;Educação Presencial;1100205;Porto Velho;RO;59;56;46;0,821428571;-0,2168;2,3584;3;
2019;6;ODONTOLOGIA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;17955;Educação Presencial;1100205;Porto Velho;RO;20;19;11;0,578947368;0,5612;3,0712;4;
2019;17;AGRONOMIA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;106830;Educação Presencial;1100205;Porto Velho;RO;55;51;44;0,862745098;0,0553;2,7988;3;
2019;28;NUTRIÇÃO;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;108725;Educação Presencial;1100205;Porto Velho;RO;23;23;18;0,782608696;-0,4101;2,2012;3;
2019;55;BIOMEDICINA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;94221;Educação Presencial;1100205;Porto Velho;RO;41;34;28;0,823529412;0,1531;2,4758;3;
2019;36;FISIOTERAPIA;1087;FACULDADES INTEGRADAS APARÍCIO CARVALHO;FIMCA;Faculdade;Privada sem fins lucrativos;94223;Educação Presencial;1100205;Porto Velho;RO;32;30;28;0,933333333;-0,2036;2,4549;3;
